ID;Name;Associated Groups;Description
G0018;admin@338;;is a China-based cyber threat group. It has previously used newsworthy events as lures to deliver malware and has primarily targeted organizations involved in financial, economic, and trade policy, typically using publicly available RATs such asPoisonIvy, as well as some non-public backdoors.
G0130;Ajax Security Team;Operation Woolen-Goldfish, AjaxTM, Rocket Kitten, Flying Kitten, Operation Saffron Rose;is a group that has been active since at least 2010 and believed to be operating out of Iran. By 2014transitioned from website defacement operations to malware-based cyber espionage campaigns targeting the US defense industrial base and Iranian users of anti-censorship technologies.
G1024;Akira;GOLD SAHARA, PUNK SPIDER;"is a ransomware variant and ransomware deployment entity active since at least March 2023.uses compromised credentials to access single-factor external access mechanisms such as VPNs for initial access, then various publicly-available tools and techniques for lateral movement.operations are associated with ""double extortion"" ransomware activity, where data is exfiltrated from victim environments prior to encryption, with threats to publish files if a ransom is not paid. Technical analysis ofransomware indicates multiple overlaps with and similarities toContimalware."
G1000;ALLANITE;Palmetto Fusion;is a suspected Russian cyber espionage group, that has primarily targeted the electric utility sector within the United States and United Kingdom. The group's tactics and techniques are reportedly similar toDragonfly, althoughs technical capabilities have not exhibited disruptive or destructive abilities. It has been suggested that the group maintains a presence in ICS for the purpose of gaining understanding of processes and to maintain persistence.
G0138;Andariel;Silent Chollima, PLUTONIUM, Onyx Sleet;"is a North Korean state-sponsored threat group that has been active since at least 2009.has primarily focused its operations--which have included destructive attacks--against South Korean government agencies, military organizations, and a variety of domestic companies; they have also conducted cyber financial operations against ATMs, banks, and cryptocurrency exchanges.'s notable activity includes Operation Black Mine, Operation GoldenAxe, and Campaign Rifle.is considered a sub-set ofLazarus Group, and has been attributed to North Korea's Reconnaissance General Bureau.North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the nameLazarus Groupinstead of tracking clusters or subgroups."
G1007;Aoqin Dragon;;is a suspected Chinese cyber espionage threat group that has been active since at least 2013.has primarily targeted government, education, and telecommunication organizations in Australia, Cambodia, Hong Kong, Singapore, and Vietnam. Security researchers noted a potential association betweenand UNC94, based on malware, infrastructure, and targets.
G1028;APT-C-23;Mantis, Arid Viper, Desert Falcon, TAG-63, Grey Karkadann, Big Bang APT, Two-tailed Scorpion;is a threat group that has been active since at least 2014.has primarily focused its operations on the Middle East, including Israeli military assets.has developed mobile spyware targeting Android and iOS devices since 2017.
G0099;APT-C-36;Blind Eagle;is a suspected South America espionage group that has been active since at least 2018. The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing.
G0006;APT1;Comment Crew, Comment Group, Comment Panda;is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398.
G0005;APT12;IXESHE, DynCalc, Numbered Panda, DNSCALC;is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments.
G0023;APT16;;is a China-based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations.
